Date,Precip,Discharge,Maxgage,Mingage,Gage,,Pdate,Pprecip,Pdischarge,UNITS
09/30/1989,0.36,15,,,,,09/30/1989,0.36A,15.0A,Precipitation=Daily Total in Inches
10/01/1989,2.19,37,,,,,10/01/1989,2.19A,37.0A,Discharge=cubic feet per sec
10/02/1989,0.79,86,,,,,10/02/1989,0.79A,86.0A,Gage=Feet
10/03/1989,0.02,33,,,,,10/03/1989,0.02A,33.0A,
10/04/1989,0.01,20,,,,,10/04/1989,0.01A,20.0A,
10/05/1989,0,18,,,,,10/05/1989,0.00A,18.0A,
10/06/1989,0,17,,,,,10/06/1989,0.00A,17.0A,
10/07/1989,0,16,,,,,10/07/1989,0.00A,16.0A,
10/08/1989,0,16,,,,,10/08/1989,0.00A,16.0A,
10/09/1989,0,15,,,,,10/09/1989,0.00A,15.0A,
10/10/1989,0,15,,,,,10/10/1989,0.00A,15.0A,
10/11/1989,0,14,,,,,10/11/1989,0.00A,14.0A,
10/12/1989,0.02,14,,,,,10/12/1989,0.02A,14.0A,
10/13/1989,0.02,14,,,,,10/13/1989,0.02A,14.0A,
10/14/1989,0,14,,,,,10/14/1989,0.00A,14.0A,
10/15/1989,0.02,14,,,,,10/15/1989,0.02A,14.0A,
10/16/1989,0.02,13,,,,,10/16/1989,0.02A,13.0A,
10/17/1989,0.01,13,,,,,10/17/1989,0.01A,13.0A,
10/18/1989,1.46,20,,,,,10/18/1989,1.46A,20.0A,
10/19/1989,0,40,,,,,10/19/1989,0.00A,40.0A,
10/20/1989,0.02,21,,,,,10/20/1989,0.02A,21.0A,
10/21/1989,0,16,,,,,10/21/1989,0.00A,16.0A,
10/22/1989,0,15,,,,,10/22/1989,0.00A,15.0A,
10/23/1989,0,14,,,,,10/23/1989,0.00A,14.0A,
10/24/1989,0,13,,,,,10/24/1989,0.00A,13.0A,
10/25/1989,0,14,,,,,10/25/1989,0.00A,14.0A,
10/26/1989,0,13,,,,,10/26/1989,0.00A,13.0A,
10/27/1989,0,13,,,,,10/27/1989,0.00A,13.0A,
10/28/1989,0,13,,,,,10/28/1989,0.00A,13.0A,
10/29/1989,0,13,,,,,10/29/1989,0.00A,13.0A,
10/30/1989,0,13,,,,,10/30/1989,0.00A,13.0A,
10/31/1989,0,14,,,,,10/31/1989,0.00A,14.0A,
11/01/1989,0,13,,,,,11/01/1989,0.00A,13.0A,
11/02/1989,0.95,20,,,,,11/02/1989,0.95A,20.0A,
11/03/1989,0,43,,,,,11/03/1989,0.00A,43.0A,
11/04/1989,0,19,,,,,11/04/1989,0.00A,19.0A,
11/05/1989,0,16,,,,,11/05/1989,0.00A,16.0A,
11/06/1989,0,15,,,,,11/06/1989,0.00A,15.0A,
11/07/1989,0,14,,,,,11/07/1989,0.00A,14.0A,
11/08/1989,0.03,15,,,,,11/08/1989,0.03A,15.0A,
11/09/1989,0.29,18,,,,,11/09/1989,0.29A,18.0A,
11/10/1989,0,16,,,,,11/10/1989,0.00A,16.0A,
11/11/1989,0,14,,,,,11/11/1989,0.00A,14.0A,
11/12/1989,0,14,,,,,11/12/1989,0.00A,14.0A,
11/13/1989,0,13,,,,,11/13/1989,0.00A,13.0A,
11/14/1989,0.02,13,,,,,11/14/1989,0.02A,13.0A,
11/15/1989,0.65,18,,,,,11/15/1989,0.65A,18.0A,
11/16/1989,0.23,28,,,,,11/16/1989,0.23A,28.0A,
11/17/1989,0,17,,,,,11/17/1989,0.00A,17.0A,
11/18/1989,0,15,,,,,11/18/1989,0.00A,15.0A,
11/19/1989,0,14,,,,,11/19/1989,0.00A,14.0A,
11/20/1989,0,14,,,,,11/20/1989,0.00A,14.0A,
11/21/1989,0,14,,,,,11/21/1989,0.00A,14.0A,
11/22/1989,0.1,13,,,,,11/22/1989,0.10A,13.0A,
11/23/1989,0.54,27,,,,,11/23/1989,0.54A,27.0A,
11/24/1989,0,18,,,,,11/24/1989,0.00A,18.0A,
11/25/1989,0,15,,,,,11/25/1989,0.00A,15.0A,
11/26/1989,0,15,,,,,11/26/1989,0.00A,15.0A,
11/27/1989,0,14,,,,,11/27/1989,0.00A,14.0A,
11/28/1989,0,14,,,,,11/28/1989,0.00A,14.0A,
11/29/1989,0,14,,,,,11/29/1989,0.00A,14.0A,
11/30/1989,0,13,,,,,11/30/1989,0.00A,13.0A,
12/01/1989,0,13,,,,,12/01/1989,0.00A,13.0A,
12/02/1989,0,13,,,,,12/02/1989,0.00A,13.0A,
12/03/1989,0,13,,,,,12/03/1989,0.00A,13.0A,
12/04/1989,0,13,,,,,12/04/1989,0.00A,13.0A,
12/05/1989,0,13,,,,,12/05/1989,0.00A,13.0A,
12/06/1989,0,12,,,,,12/06/1989,0.00A,12.0A,
12/07/1989,0.14,12,,,,,12/07/1989,0.14A,12.0A,
12/08/1989,1.57,32,,,,,12/08/1989,1.57A,32.0A,
12/09/1989,0.11,39,,,,,12/09/1989,0.11A,39.0A,
12/10/1989,0.64,27,,,,,12/10/1989,0.64A,27.0A,
12/11/1989,0,26,,,,,12/11/1989,0.00A,26.0A,
12/12/1989,0.27,25,,,,,12/12/1989,0.27A,25.0A,
12/13/1989,0.25,31,,,,,12/13/1989,0.25A,31.0A,
12/14/1989,0,22,,,,,12/14/1989,0.00A,22.0A,
12/15/1989,0,18,,,,,12/15/1989,0.00A,18.0A,
12/16/1989,0,17,,,,,12/16/1989,0.00A,17.0A,
12/17/1989,0,16,,,,,12/17/1989,0.00A,16.0A,
12/18/1989,0,16,,,,,12/18/1989,0.00A,16.0A,
12/19/1989,0,16,,,,,12/19/1989,0.00A,16.0A,
12/20/1989,0.24,17,,,,,12/20/1989,0.24A,17.0A,
12/21/1989,0,16,,,,,12/21/1989,0.00A,16.0A,
12/22/1989,0,15,,,,,12/22/1989,0.00A,15.0A,
12/23/1989,0,14,,,,,12/23/1989,0.00A,14.0A,
12/24/1989,0,14,,,,,12/24/1989,0.00A,14.0A,
12/25/1989,0,14,,,,,12/25/1989,0.00A,14.0A,
12/26/1989,0,14,,,,,12/26/1989,0.00A,14.0A e,
12/27/1989,0,14,,,,,12/27/1989,0.00A,14.0A e,
12/28/1989,0,14,,,,,12/28/1989,0.00A,14.0A e,
12/29/1989,0,14,,,,,12/29/1989,0.00A,14.0A,
12/30/1989,0.01,15,,,,,12/30/1989,0.01A,15.0A,
12/31/1989,0.07,15,,,,,12/31/1989,0.07A,15.0A,
01/01/1990,0.25,20,,,,,01/01/1990,0.25A,20.0A,
01/02/1990,0,15,,,,,01/02/1990,0.00A,15.0A,
01/03/1990,0,14,,,,,01/03/1990,0.00A,14.0A,
01/04/1990,0,14,,,,,01/04/1990,0.00A,14.0A,
01/05/1990,0,14,,,,,01/05/1990,0.00A,14.0A,
01/06/1990,0.19,17,,,,,01/06/1990,0.19A,17.0A,
01/07/1990,0.15,16,,,,,01/07/1990,0.15A,16.0A,
01/08/1990,0.63,28,,,,,01/08/1990,0.63A,28.0A,
01/09/1990,0,22,,,,,01/09/1990,0.00A,22.0A,
01/10/1990,0,16,,,,,01/10/1990,0.00A,16.0A,
01/11/1990,0,15,,,,,01/11/1990,0.00A,15.0A,
01/12/1990,0,14,,,,,01/12/1990,0.00A,14.0A,
01/13/1990,0,14,,,,,01/13/1990,0.00A,14.0A,
01/14/1990,0,13,,,,,01/14/1990,0.00A,13.0A,
01/15/1990,0,13,,,,,01/15/1990,0.00A,13.0A,
01/16/1990,0,13,,,,,01/16/1990,0.00A,13.0A,
01/17/1990,0,13,,,,,01/17/1990,0.00A,13.0A,
01/18/1990,0,13,,,,,01/18/1990,0.00A,13.0A,
01/19/1990,0,13,,,,,01/19/1990,0.00A,13.0A,
01/20/1990,0,12,,,,,01/20/1990,0.00A,12.0A,
01/21/1990,0.24,16,,,,,01/21/1990,0.24A,16.0A,
01/22/1990,0,14,,,,,01/22/1990,0.00A,14.0A,
01/23/1990,0,13,,,,,01/23/1990,0.00A,13.0A,
01/24/1990,0,12,,,,,01/24/1990,0.00A,12.0A,
01/25/1990,0.38,13,,,,,01/25/1990,0.38A,13.0A,
01/26/1990,0.33,24,,,,,01/26/1990,0.33A,24.0A,
01/27/1990,0,15,,,,,01/27/1990,0.00A,15.0A,
01/28/1990,0,13,,,,,01/28/1990,0.00A,13.0A,
01/29/1990,0.36,13,,,,,01/29/1990,0.36A,13.0A,
01/30/1990,0,20,,,,,01/30/1990,0.00A,20.0A,
01/31/1990,0,14,,,,,01/31/1990,0.00A,14.0A,
02/01/1990,0,13,,,,,02/01/1990,0.00A,13.0A,
02/02/1990,0.08,15,,,,,02/02/1990,0.08A,15.0A,
02/03/1990,0,14,,,,,02/03/1990,0.00A,14.0A,
02/04/1990,0.4,17,,,,,02/04/1990,0.40A,17.0A,
02/05/1990,0,23,,,,,02/05/1990,0.00A,23.0A,
02/06/1990,0,14,,,,,02/06/1990,0.00A,14.0A,
02/07/1990,0,13,,,,,02/07/1990,0.00A,13.0A,
02/08/1990,0,13,,,,,02/08/1990,0.00A,13.0A,
02/09/1990,0.38,13,,,,,02/09/1990,0.38A,13.0A,
02/10/1990,0.43,30,,,,,02/10/1990,0.43A,30.0A,
02/11/1990,0,17,,,,,02/11/1990,0.00A,17.0A,
02/12/1990,0,14,,,,,02/12/1990,0.00A,14.0A,
02/13/1990,0,12,,,,,02/13/1990,0.00A,12.0A,
02/14/1990,0,12,,,,,02/14/1990,0.00A,12.0A,
02/15/1990,0,12,,,,,02/15/1990,0.00A,12.0A,
02/16/1990,0.6,14,,,,,02/16/1990,0.60A,14.0A,
02/17/1990,0,21,,,,,02/17/1990,0.00A,21.0A,
02/18/1990,0.1,13,,,,,02/18/1990,0.10A,13.0A,
02/19/1990,0.62,28,,,,,02/19/1990,0.62A,28.0A,
02/20/1990,0,19,,,,,02/20/1990,0.00A,19.0A,
02/21/1990,0,14,,,,,02/21/1990,0.00A,14.0A,
02/22/1990,0.48,15,,,,,02/22/1990,0.48A,15.0A,
02/23/1990,0.25,21,,,,,02/23/1990,0.25A,21.0A,
02/24/1990,0,20,,,,,02/24/1990,0.00A,20.0A,
02/25/1990,0,14,,,,,02/25/1990,0.00A,14.0A,
02/26/1990,0,13,,,,,02/26/1990,0.00A,13.0A,
02/27/1990,0,13,,,,,02/27/1990,0.00A,13.0A,
02/28/1990,0,13,,,,,02/28/1990,0.00A,13.0A,
03/01/1990,0,12,,,,,03/01/1990,0.00A,12.0A,
03/02/1990,0.14,12,,,,,03/02/1990,0.14A,12.0A,
03/03/1990,0.99,30,,,,,03/03/1990,0.99A,30.0A,
03/04/1990,0,21,,,,,03/04/1990,0.00A,21.0A,
03/05/1990,0,14,,,,,03/05/1990,0.00A,14.0A,
03/06/1990,0,13,,,,,03/06/1990,0.00A,13.0A,
03/07/1990,0,12,,,,,03/07/1990,0.00A,12.0A,
03/08/1990,0,12,,,,,03/08/1990,0.00A,12.0A,
03/09/1990,0.05,13,,,,,03/09/1990,0.05A,13.0A,
03/10/1990,0,14,,,,,03/10/1990,0.00A,14.0A,
03/11/1990,0,12,,,,,03/11/1990,0.00A,12.0A,
03/12/1990,0,11,,,,,03/12/1990,0.00A,11.0A,
03/13/1990,0,11,,,,,03/13/1990,0.00A,11.0A,
03/14/1990,0,11,,,,,03/14/1990,0.00A,11.0A,
03/15/1990,0,11,,,,,03/15/1990,0.00A,11.0A,
03/16/1990,0,11,,,,,03/16/1990,0.00A,11.0A,
03/17/1990,1,15,,,,,03/17/1990,1.00A,15.0A,
03/18/1990,0.01,26,,,,,03/18/1990,0.01A,26.0A,
03/19/1990,0.02,13,,,,,03/19/1990,0.02A,13.0A,
03/20/1990,0,12,,,,,03/20/1990,0.00A,12.0A,
03/21/1990,0,11,,,,,03/21/1990,0.00A,11.0A,
03/22/1990,0,11,,,,,03/22/1990,0.00A,11.0A,
03/23/1990,0,11,,,,,03/23/1990,0.00A,11.0A,
03/24/1990,0,11,,,,,03/24/1990,0.00A,11.0A,
03/25/1990,0,11,,,,,03/25/1990,0.00A,11.0A,
03/26/1990,0.17,11,,,,,03/26/1990,0.17A,11.0A,
03/27/1990,0,13,,,,,03/27/1990,0.00A,13.0A,
03/28/1990,0,11,,,,,03/28/1990,0.00A,11.0A,
03/29/1990,1.32,28,,,,,03/29/1990,1.32A,28.0A,
03/30/1990,0,29,,,,,03/30/1990,0.00A,29.0A,
03/31/1990,0.52,26,,,,,03/31/1990,0.52A,26.0A,
04/01/1990,0.75,19,,,,,04/01/1990,0.75A,19.0A,
04/02/1990,0.59,45,,,,,04/02/1990,0.59A,45.0A,
04/03/1990,0,37,,,,,04/03/1990,0.00A,37.0A,
04/04/1990,0,19,,,,,04/04/1990,0.00A,19.0A,
04/05/1990,0,16,,,,,04/05/1990,0.00A,16.0A,
04/06/1990,0.1,15,,,,,04/06/1990,0.10A,15.0A,
04/07/1990,0.49,24,,,,,04/07/1990,0.49A,24.0A,
04/08/1990,0,16,,,,,04/08/1990,0.00A,16.0A,
04/09/1990,0,14,,,,,04/09/1990,0.00A,14.0A,
04/10/1990,0,14,,,,,04/10/1990,0.00A,14.0A,
04/11/1990,0,14,,,,,04/11/1990,0.00A,14.0A,
04/12/1990,0,13,,,,,04/12/1990,0.00A,13.0A,
04/13/1990,0,13,,,,,04/13/1990,0.00A,13.0A,
04/14/1990,0,13,,,,,04/14/1990,0.00A,13.0A,
04/15/1990,0.35,18,,,,,04/15/1990,0.35A,18.0A,
04/16/1990,0,16,,,,,04/16/1990,0.00A,16.0A,
04/17/1990,0,13,,,,,04/17/1990,0.00A,13.0A,
04/18/1990,0,12,,,,,04/18/1990,0.00A,12.0A,
04/19/1990,0,12,,,,,04/19/1990,0.00A,12.0A,
04/20/1990,0,12,,,,,04/20/1990,0.00A,12.0A,
04/21/1990,0,11,,,,,04/21/1990,0.00A,11.0A,
04/22/1990,0,11,,,,,04/22/1990,0.00A,11.0A,
04/23/1990,0,11,,,,,04/23/1990,0.00A,11.0A,
04/24/1990,0,11,,,,,04/24/1990,0.00A,11.0A,
04/25/1990,0,10,,,,,04/25/1990,0.00A,10.0A,
04/26/1990,0,9.7,,,,,04/26/1990,0.00A,9.70A,
04/27/1990,0,9.4,,,,,04/27/1990,0.00A,9.40A,
04/28/1990,0.03,9,,,,,04/28/1990,0.03A,9.00A,
04/29/1990,0.37,14,,,,,04/29/1990,0.37A,14.0A,
04/30/1990,0.1,12,,,,,04/30/1990,0.10A,12.0A,
05/01/1990,0.07,11,,,,,05/01/1990,0.07A,11.0A,
05/02/1990,0.96,11,,,,,05/02/1990,0.96A,11.0A,
05/03/1990,0.91,39,,,,,05/03/1990,0.91A,39.0A,
05/04/1990,0,18,,,,,05/04/1990,0.00A,18.0A,
05/05/1990,0.12,14,,,,,05/05/1990,0.12A,14.0A,
05/06/1990,0,12,,,,,05/06/1990,0.00A,12.0A,
05/07/1990,0.02,11,,,,,05/07/1990,0.02A,11.0A,
05/08/1990,0,10,,,,,05/08/1990,0.00A,10.0A,
05/09/1990,0,9.8,,,,,05/09/1990,0.00A,9.80A,
05/10/1990,0.97,23,,,,,05/10/1990,0.97A,23.0A,
05/11/1990,0,16,,,,,05/11/1990,0.00A,16.0A,
05/12/1990,0,11,,,,,05/12/1990,0.00A,11.0A,
05/13/1990,0,10,,,,,05/13/1990,0.00A,10.0A,
05/14/1990,0,11,,,,,05/14/1990,0.00A,11.0A,
05/15/1990,0,9,,,,,05/15/1990,0.00A,9.00A,
05/16/1990,0,8.5,,,,,05/16/1990,0.00A,8.50A,
05/17/1990,0,8.2,,,,,05/17/1990,0.00A,8.20A,
05/18/1990,0,8.6,,,,,05/18/1990,0.00A,8.60A,
05/19/1990,0,7.8,,,,,05/19/1990,0.00A,7.80A,
05/20/1990,0.4,7.9,,,,,05/20/1990,0.40A,7.90A,
05/21/1990,0,8.3,,,,,05/21/1990,0.00A,8.30A,
05/22/1990,0.44,11,,,,,05/22/1990,0.44A,11.0A,
05/23/1990,0,13,,,,,05/23/1990,0.00A,13.0A,
05/24/1990,0,9.1,,,,,05/24/1990,0.00A,9.10A,
05/25/1990,0,9.2,,,,,05/25/1990,0.00A,9.20A,
05/26/1990,0,9.5,,,,,05/26/1990,0.00A,9.50A,
05/27/1990,1.42,9.3,,,,,05/27/1990,1.42A,9.30A,
05/28/1990,2.92,143,,,,,05/28/1990,2.92A,143A,
05/29/1990,0.11,51,,,,,05/29/1990,0.11A,51.0A,
05/30/1990,0,24,,,,,05/30/1990,0.00A,24.0A,
05/31/1990,0,17,,,,,05/31/1990,0.00A,17.0A,
06/01/1990,0,15,,,,,06/01/1990,0.00A,15.0A,
06/02/1990,0,14,,,,,06/02/1990,0.00A,14.0A,
06/03/1990,0,14,,,,,06/03/1990,0.00A,14.0A,
06/04/1990,0,12,,,,,06/04/1990,0.00A,12.0A,
06/05/1990,0,10,,,,,06/05/1990,0.00A,10.0A,
06/06/1990,0,10,,,,,06/06/1990,0.00A,10.0A,
06/07/1990,0,9.8,,,,,06/07/1990,0.00A,9.80A,
06/08/1990,0,9.2,,,,,06/08/1990,0.00A,9.20A,
06/09/1990,0,9.4,,,,,06/09/1990,0.00A,9.40A,
06/10/1990,0,8.7,,,,,06/10/1990,0.00A,8.70A,
06/11/1990,0,8.2,,,,,06/11/1990,0.00A,8.20A,
06/12/1990,0,8,,,,,06/12/1990,0.00A,8.00A,
06/13/1990,0,8,,,,,06/13/1990,0.00A,8.00A,
06/14/1990,0,8,,,,,06/14/1990,0.00A,8.00A,
06/15/1990,0,8.2,,,,,06/15/1990,0.00A,8.20A,
06/16/1990,0,9.2,,,,,06/16/1990,0.00A,9.20A,
06/17/1990,0,8.5,,,,,06/17/1990,0.00A,8.50A,
06/18/1990,0,7.6,,,,,06/18/1990,0.00A,7.60A,
06/19/1990,0.03,12,,,,,06/19/1990,0.03A,12.0A,
06/20/1990,0,8.4,,,,,06/20/1990,0.00A,8.40A,
06/21/1990,0,7.4,,,,,06/21/1990,0.00A,7.40A,
06/22/1990,0.15,7.5,,,,,06/22/1990,0.15A,7.50A,
06/23/1990,0,7.9,,,,,06/23/1990,0.00A,7.90A,
06/24/1990,0,7.1,,,,,06/24/1990,0.00A,7.10A,
06/25/1990,0,6.8,,,,,06/25/1990,0.00A,6.80A,
06/26/1990,0,6.9,,,,,06/26/1990,0.00A,6.90A,
06/27/1990,0,7,,,,,06/27/1990,0.00A,7.00A,
06/28/1990,0.01,6.8,,,,,06/28/1990,0.01A,6.80A,
06/29/1990,0,6.8,,,,,06/29/1990,0.00A,6.80A,
06/30/1990,0,6.4,,,,,06/30/1990,0.00A,6.40A,
07/01/1990,0.12,6.2,,,,,07/01/1990,0.12A,6.20A,
07/02/1990,0,7.5,,,,,07/02/1990,0.00A,7.50A,
07/03/1990,0,6.7,,,,,07/03/1990,0.00A,6.70A,
07/04/1990,0,6.4,,,,,07/04/1990,0.00A,6.40A,
07/05/1990,0,6.1,,,,,07/05/1990,0.00A,6.10A,
07/06/1990,0,5.9,,,,,07/06/1990,0.00A,5.90A,
07/07/1990,0,6,,,,,07/07/1990,0.00A,6.00A,
07/08/1990,0.02,6.4,,,,,07/08/1990,0.02A,6.40A,
07/09/1990,0,6.2,,,,,07/09/1990,0.00A,6.20A,
07/10/1990,0.47,5.6,,,,,07/10/1990,0.47A,5.60A,
07/11/1990,0.11,14,,,,,07/11/1990,0.11A,14.0A,
07/12/1990,0.13,8.7,,,,,07/12/1990,0.13A,8.70A,
07/13/1990,0,7.4,,,,,07/13/1990,0.00A,7.40A,
07/14/1990,0.36,8.6,,,,,07/14/1990,0.36A,8.60A,
07/15/1990,0.04,9.3,,,,,07/15/1990,0.04A,9.30A,
07/16/1990,0,7.4,,,,,07/16/1990,0.00A,7.40A,
07/17/1990,0.22,7.3,,,,,07/17/1990,0.22A,7.30A,
07/18/1990,0.01,8.1,,,,,07/18/1990,0.01A,8.10A,
07/19/1990,0,8.1,,,,,07/19/1990,0.00A,8.10A,
07/20/1990,0,7.9,,,,,07/20/1990,0.00A,7.90A,
07/21/1990,0.02,6.9,,,,,07/21/1990,0.02A,6.90A,
07/22/1990,0,6.6,,,,,07/22/1990,0.00A,6.60A,
07/23/1990,0,6.1,,,,,07/23/1990,0.00A,6.10A,
07/24/1990,0,5.9,,,,,07/24/1990,0.00A,5.90A,
07/25/1990,0,5.7,,,,,07/25/1990,0.00A,5.70A,
07/26/1990,0,5.6,,,,,07/26/1990,0.00A,5.60A,
07/27/1990,0.02,5.6,,,,,07/27/1990,0.02A,5.60A,
07/28/1990,0,5.9,,,,,07/28/1990,0.00A,5.90A,
07/29/1990,0,5.7,,,,,07/29/1990,0.00A,5.70A,
07/30/1990,0,5.5,,,,,07/30/1990,0.00A,5.50A,
07/31/1990,0,5.4,,,,,07/31/1990,0.00A,5.40A,
08/01/1990,0.03,5.2,,,,,08/01/1990,0.03A,5.20A,
08/02/1990,0.02,5.6,,,,,08/02/1990,0.02A,5.60A,
08/03/1990,0,6.2,,,,,08/03/1990,0.00A,6.20A,
08/04/1990,0,5.6,,,,,08/04/1990,0.00A,5.60A,
08/05/1990,0,5.4,,,,,08/05/1990,0.00A,5.40A,
08/06/1990,1.46,6.2,,,,,08/06/1990,1.46A,6.20A,
08/07/1990,0.16,28,,,,,08/07/1990,0.16A,28.0A,
08/08/1990,0,11,,,,,08/08/1990,0.00A,11.0A,
08/09/1990,0.72,15,,,,,08/09/1990,0.72A,15.0A,
08/10/1990,0,16,,,,,08/10/1990,0.00A,16.0A,
08/11/1990,0,8.8,,,,,08/11/1990,0.00A,8.80A,
08/12/1990,0,7,,,,,08/12/1990,0.00A,7.00A,
08/13/1990,0,6.3,,,,,08/13/1990,0.00A,6.30A,
08/14/1990,0.32,6.2,,,,,08/14/1990,0.32A,6.20A,
08/15/1990,0.02,8.2,,,,,08/15/1990,0.02A,8.20A,
08/16/1990,0.14,8.7,,,,,08/16/1990,0.14A,8.70A,
08/17/1990,0,9.2,,,,,08/17/1990,0.00A,9.20A,
08/18/1990,0,7.4,,,,,08/18/1990,0.00A,7.40A,
08/19/1990,0,6.5,,,,,08/19/1990,0.00A,6.50A,
08/20/1990,0,6.3,,,,,08/20/1990,0.00A,6.30A,
08/21/1990,0.31,6.4,,,,,08/21/1990,0.31A,6.40A,
08/22/1990,0.19,13,,,,,08/22/1990,0.19A,13.0A,
08/23/1990,0,17,,,,,08/23/1990,0.00A,17.0A,
08/24/1990,0,9.3,,,,,08/24/1990,0.00A,9.30A,
08/25/1990,0,7.8,,,,,08/25/1990,0.00A,7.80A,
08/26/1990,0,7,,,,,08/26/1990,0.00A,7.00A,
08/27/1990,0,6.6,,,,,08/27/1990,0.00A,6.60A,
08/28/1990,0,6,,,,,08/28/1990,0.00A,6.00A,
08/29/1990,0.01,5.7,,,,,08/29/1990,0.01A,5.70A,
08/30/1990,0,5.7,,,,,08/30/1990,0.00A,5.70A,
09/26/1990,0,5,,,,,09/26/1990,0.00A,5.00A,
09/27/1990,0,4.9,,,,,09/27/1990,0.00A,4.90A,
09/28/1990,0,4.9,,,,,09/28/1990,0.00A,4.90A,
09/29/1990,0,5.1,,,,,09/29/1990,0.00A,5.10A,
10/01/1995,a,8.8,,,0.96,,04/01/2000,0.00A,8.50A,
10/02/1995,a,8.1,,,0.94,,04/02/2000,0.03A,8.50A,
10/03/1995,a,7.7,,,0.93,,04/03/2000,0.00A,8.90A,
10/04/1995,a,42,,,1.59,,04/04/2000,0.01A,8.50A,
10/05/1995,a,68,,,2.1,,04/05/2000,0.00A,8.20A,
10/06/1995,a,24,,,1.33,,04/06/2000,0.00A,7.90A,
10/07/1995,a,16,,,1.17,,04/07/2000,0.00A,7.60A,
10/08/1995,a,14,,,1.1,,04/08/2000,0.46A,8.30A,
10/09/1995,a,13,,,1.07,,04/09/2000,0.00A,13.0A,
10/10/1995,a,12,,,1.06,,04/10/2000,0.00A,8.70A,
10/11/1995,a,12,,,1.05,,04/11/2000,0.00A,7.90A,
10/12/1995,a,11,,,1.03,,04/12/2000,0.05A,7.60A,
10/13/1995,a,11,,,1.03,,04/13/2000,0.30A,9.80A,
10/14/1995,a,11,,,1.05,,04/14/2000,0.08A,10.0A,
10/15/1995,a,28,,,1.42,,04/15/2000,0.33A,15.0A,
10/16/1995,a,14,,,1.1,,04/16/2000,0.01A,12.0A,
10/17/1995,a,11,,,1.03,,04/17/2000,0.30A,9.00A,
10/18/1995,a,10,,,1.02,,04/18/2000,0.25A,15.0A,
10/19/1995,a,10,,,1.01,,04/19/2000,0.00A,11.0A,
10/20/1995,a,20,,,1.22,,04/20/2000,0.00A,8.60A,
10/21/1995,a,37,,,1.59,,04/21/2000,0.00A,7.90A,
10/22/1995,a,16,,,1.16,,04/22/2000,0.00A,7.40A,
10/23/1995,a,13,,,1.08,,04/23/2000,0.00A,7.20A,
10/24/1995,a,12,,,1.06,,04/24/2000,0.01A,7.40A,
10/25/1995,a,11,,,1.04,,04/25/2000,0.21A,9.30A,
10/26/1995,a,11,,,1.03,,04/26/2000,0.00A,11.0A,
10/27/1995,a,11,,,1.04,,04/27/2000,0.08A,9.00A,
10/28/1995,a,24,,,1.34,,04/28/2000,0.17A,9.20A,
10/29/1995,a,14,,,1.11,,04/29/2000,0.31A,10.0A,
10/30/1995,a,11,,,1.05,,04/30/2000,0.01A,9.40A,
10/31/1995,a,11,,,1.05,,05/01/2000,0.00A,7.60A,
11/01/1995,a,15,,,1.14,,05/02/2000,0.00A,6.80A,
11/02/1995,a,22,,,1.28,,05/03/2000,0.00A,6.70A,
11/03/1995,a,24,,,1.34,,05/04/2000,0.00A,6.30A,
11/04/1995,a,15,,,1.14,,05/05/2000,0.00A,6.30A,
11/05/1995,a,13,,,1.09,,05/06/2000,0.00A,6.10A,
11/06/1995,a,13,,,1.08,,05/07/2000,0.00A,5.70A,
11/07/1995,a,22,,,1.27,,05/08/2000,0.00A,5.40A,
11/08/1995,a,33,,,1.52,,05/09/2000,0.00A,5.40A,
11/09/1995,a,16,,,1.17,,05/10/2000,0.00A,5.30A,
11/10/1995,a,14,,,1.12,,05/11/2000,0.00A,5.20A,
11/11/1995,a,21,,,1.26,,05/12/2000,0.00A,5.00A,
11/12/1995,a,35,,,1.54,,05/13/2000,0.00A,4.70A,
11/13/1995,a,18,,,1.2,,05/14/2000,0.00A,4.50A,
11/14/1995,a,16,,,1.16,,05/15/2000,0.00A,4.60A,
11/15/1995,a,15,,,1.14,,05/16/2000,0.00A,4.80A,
11/16/1995,a,14,,,1.11,,05/17/2000,0.00A,4.90A,
11/17/1995,a,13,,,1.1,,05/18/2000,0.00A,5.00A,
11/18/1995,a,13,,,1.09,,05/19/2000,0.00A,4.60A,
11/19/1995,a,13,,,1.09,,05/20/2000,0.00A,4.40A,
11/20/1995,a,13,,,1.08,,05/21/2000,0.74A,4.60A,
11/21/1995,a,13,,,1.08,,05/22/2000,0.00A,6.10A,
11/22/1995,a,12,,,1.07,,05/23/2000,0.01A,5.10A,
11/23/1995,a,12,,,1.07,,05/24/2000,0.00A,5.20A,
11/24/1995,a,12,,,1.07,,05/25/2000,0.14A,4.70A,
11/25/1995,a,16,,,1.16,,05/26/2000,0.00A,5.40A,
11/26/1995,a,13,,,1.1,,05/27/2000,0.00A,4.90A,
11/27/1995,a,13,,,1.08,,05/28/2000,0.35A,4.90A,
11/28/1995,a,12,,,1.07,,05/29/2000,0.05A,8.40A,
11/29/1995,a,12,,,1.06,,05/30/2000,0.00A,6.60A,
11/30/1995,a,12,,,1.06,,05/31/2000,0.00A,5.80A,
12/01/1995,a,12,,,1.06,,06/01/2000,0.00A,5.30A,
12/02/1995,a,12,,,1.05,,06/02/2000,0.00A,4.80A,
12/03/1995,a,12,,,1.04,,06/03/2000,0.02A,4.50A,
12/04/1995,a,12,,,1.04,,06/04/2000,0.10A,7.30A,
